"ROW_ID","CREATED","CREATED_BY","LAST_UPD","LAST_UPD_BY","MODIFICATION_NUM","CONFLICT_ID","DB_LAST_UPD","CONDITION","COUNT","DATATYPE","DB_LAST_UPD_SRC","GROUP_ID","OPERATOR","ROW_NUM","VALUE","SOURCE_RECORD_ID","COND_PRODUCT_PARENT","CONSTRAINT_GROUPTYPE","CONSTRAINT_PARENT","IS_OBJ_EVALUATOR","IS_SUBJ_EVALUATOR"
"9-VGX2JNA2YS","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-S7HZV","=","R-7NELQ","Ambassador Internet Fiber + Tel","1-1QBKP2","","","","",""
"9-CF34E836C5","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-S7HZV","=","R-KN79R","Move","1-1QBKP2","","","","",""
"9-3K6KE8PG4I","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_ORIGINAL_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-S7HZV","=","R-RNR2S","Move","1-1QBKP2","","","","",""
"9-FEM5DYVWQW","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC Promotion Parent Action Code","","Attribute","dataimp","G-LWHS3","=","R-07LUL","Add","1-2ZK1EP","","","","",""
"9-TWMKBD9OJK","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-UMU14","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-U5URNKQTMA","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-7KE58","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-PPEFNCLUJ5","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-PAU0O","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-7P2KNI7LVQ","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-0L7KI","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-2ZEX0VW00S","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-3MXEB","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-3YJOUDT2MJ","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-LWHS3","=","R-Z5FY7","Flex Giga Fiber XS","1-2ZK1EP","","","","",""
"9-ONTY31G4KI","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_Inet","","Profile Attribute","dataimp","G-LWHS3","=","R-GT0C2","New","1-2ZK1EP","","","","",""
"9-QBKEEXZRGY","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_Inet","","Profile Attribute","dataimp","G-LWHS3","=","R-0P70L","New","1-2ZK1EP","","","","",""
"9-XKOTQ26W2S","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_Inet","","Profile Attribute","dataimp","G-LWHS3","=","R-LF7XD","New","1-2ZK1EP","","","","",""
"9-ZJD6XVQZ4J","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_ORIGINAL_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-LWHS3","!=","R-MY8WV","Move","1-2ZK1EP","","","","",""
"9-EEP8CQSEWO","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_ORIGINAL_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-LWHS3","!=","R-M9851","Move","1-2ZK1EP","","","","",""
"9-TYBU4JAYXH","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-LWHS3","!=","R-IYJMB","Move","1-2ZK1EP","","","","",""
"9-4LAR0YP0BS","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_BF_ZONE","","Profile Attribute","dataimp","G-LWHS3","=","R-H7X2W","Fiber - Fiber","1-2ZK1EP","","","","",""
"9-6JXFDRSJ4Y","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_BF_ACCESS_TYPE","","Profile Attribute","dataimp","G-LWHS3","=","R-N2BPK","Both","1-2ZK1EP","","","","",""
"9-NWZ7FJX8NM","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-LWHS3","!=","R-VVW6E","CO Free","1-2ZK1EP","","","","",""
"9-DCWBZ3M8Y7","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC Promotion Parent Action Code","","Attribute","dataimp","G-UYPL0","=","R-2G5O6","Add","1-2ZK067","","","","",""
"9-MV0NSRPVV0","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-T5ISJ","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-QAKJXLOZET","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-OYGD3","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-EKLMOV7VJ2","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-BANDP","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-7CJJRRQ7SY","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-D0VRD","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-G4GHNCTO9N","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-F6BB6","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-YVCXC22ELH","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-UYPL0","=","R-TOLFP","Flex Giga Fiber XS","1-2ZK067","","","","",""
"9-1O0ZJ0CPFM","11/06/2024 15:47:30","0-1","11/06/2024 15:47:30","0-1","0","0","19/06/2024 16:11:54","BGC_Inet","","Profile Attribute","dataimp","G-UYPL0","=","R-C0SYZ","New","1-2ZK067","","","","",""
"9-MVMZZN6EBR","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-Z1SH6","Beats Flex XS","1-34KC77","","","","",""
"9-ACX8BUQ480","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-443R7","Beats Flex Fiber XS","1-34KC77","","","","",""
"9-LZPRRA1V5C","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-E8U9H","Beats Flex Fiber XS","1-34KC77","","","","",""
"9-11QSFAWJME","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-DIRO8","Beats Flex Fiber XS","1-34KC77","","","","",""
"9-5RE0JVE5ND","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-MAUT9","Beats Flex Fiber XS","1-34KC77","","","","",""
"9-2S6YSUIQT4","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","Prod Prom Name","","Attribute","dataimp","G-TRDU7","=","R-MQF0Z","Beats Flex Fiber XS","1-34KC77","","","","",""
"9-J7NJDWE6TV","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","BGC_BF_ACCESS_TYPE","","Profile Attribute","dataimp","G-TRDU7","=","R-ZMZMK","Both","1-34KC77","","","","",""
"9-9ZBSCF5DJ2","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","BGC_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-TRDU7","!=","R-EOG7F","Move","1-34KC77","","","","",""
"9-GXCAX0MT6S","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","BGC_ORIGINAL_MOVE_MIGRATE_STATUS","","Profile Attribute","dataimp","G-TRDU7","!=","R-AR005","Move","1-34KC77","","","","",""
"9-ASP4XC24Z4","11/06/2024 15:47:28","0-1","11/06/2024 15:47:28","0-1","0","0","19/06/2024 16:11:54","BGC_BF_ZONE","","Profile Attribute","dataimp","G-TRDU7","!=","R-Y7UE0","Fiber - Fiber","1-34KC77","","","","",""
