"ROW_ID","CREATED","CREATED_BY","LAST_UPD","LAST_UPD_BY","MODIFICATION_NUM","CONFLICT_ID","DB_LAST_UPD","EFF_END_DT","EFF_START_DT","X_NUMBER_OF_TIMES","COMP_TYPE_CD","CONTEXT_CD","DB_LAST_UPD_SRC","OBJECT_PRODUCT_LIST","OBJECT_RELATIONSHIP","OBJECT_UID","PROD_LIST","PTRN_ID","SOURCE_RECORD_ID","SOURCE_RULE_TYPE","SUBJECT_PRODUCT_LIST","SUBJECT_RELATIONSHIP","SUBJECT_UID","X_ACTION_CODE","X_CUSTOM_MSG_ENU","X_CUSTOM_MSG_FRA","X_CUSTOM_MSG_NLD","X_OPERATOR","X_ORDER_MODE","X_PROMOTION_ID","PARENT_PRODID","ADJ_GROUP_ID","GROUP_ID","MANUAL_FLAG","MTRX_RULE_NUM","OBJECT_EVALUATOR","PROD_ID","PROD_LN_ID","PROD_TMPL_VODNUM","REL_PROD_COMP_ID","REL_PROD_ID","REL_PROD_LN_ID","REL_PROD_TMPL_VNUM","SUBJECT_EVALUATOR","X_BGC_QUANTITY_CHECK_FLG","X_PROD_CLASS_ID","X_REL_PROD_CLASS_ID","GROUP_EC","X_DECI_PXS_PRODUCT","X_DECI_PXS_PRODUCT_ACTION","X_DEC_PRD_LN_ID","X_CUST_AGREE_ID","X_SKIP_RULES_ONBOARD_RENE"
"8-6HK2EUX75E","11/06/2024 15:47:32","0-1","11/06/2024 15:47:32","0-1","0","0","19/06/2024 16:07:14","31/01/2030 22:59:59","30/06/2020 22:00:00","","Optional Default","Parent","dataimp","","","CHIFE","","","1-28F083","","","","","","","","","","","","DRZVC","","G-DVYSI","","","","","","","","","","","(R-TYJ4J OR R-0KGYG OR R-7Q3IJ OR R-JYSLC OR R-ZULR6 OR R-AYXOI OR R-3ELNJ OR R-H1CP3) AND (R-RBWEE OR R-FEP68)","","","","","","","","",""
"8-B39LNP2L3M","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","","","","Optional Default","Parent","dataimp","","","CJGTL","","","1-2KR2LM","","","","","","","","","","","","DOJTS","","G-TLLEZ","","","","","","","","","","","(R-XVXF1 OR R-RP0UY) AND (R-QLELR AND R-TUB4H) AND (R-EXCTK OR R-CSLTX OR R-U27RO)","","","","","","","","",""
"8-55DRCOI4U7","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","31/07/2024 21:59:59","01/05/2024 22:00:00","","Optional Default","Parent","dataimp","","","KQBAP","","","1-3ET26M","","","","","","","","","","","KXPWI","KDKWA","","G-76O5B","","","","","","","","","","","(R-D4LZB OR R-F58QJ) AND R-7FXJU AND R-YX92Y AND R-33O4W","","","","","","","","",""
"8-3ZS4F1056T","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","31/07/2024 21:59:59","01/05/2024 22:00:00","","Optional Default","Parent","dataimp","","","COSRX","","","1-3ET2SG","","","","","","","","","","","PUSPI","KDKWA","","G-D44E8","","","","","","","","","","","R-FTCA6 AND (R-3UPRB OR R-AAJR5) AND R-A3ZVL AND R-PQO2P","","","","","","","","",""
"8-7JZISI53LK","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","31/07/2024 21:59:59","01/05/2024 22:00:00","","Optional Default","Parent","dataimp","","","KQBAP","","","1-3ET0XM","","","","","","","","","","","MLBSK","KDKWA","","G-1N9KA","","","","","","","","","","","(R-3SRDX OR R-2HW99) AND R-A7TGB AND R-38KHT AND R-02JW9","","","","","","","","",""
"8-CC6SI426VT","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","31/07/2024 21:59:59","21/03/2024 23:00:00","","Optional Default","Parent","dataimp","","","PONVV","","","1-3ES56T","","","","","","","","","","","MLWLE","KDKWA","","G-SBWZ1","","","","","","","","","","","(R-6KEWE OR R-W6VQA) AND R-M5Z3T AND R-8ZCQK AND R-IZ4R0","","","","","","","","",""
"8-9FL8WEXRWT","11/06/2024 15:47:33","0-1","11/06/2024 15:47:33","0-1","0","0","19/06/2024 16:07:14","31/07/2024 21:59:59","01/05/2024 22:00:00","","Optional Default","Parent","dataimp","","","KQBAP","","","1-3ET15A","","","","","","","","","","","DCGXV","KDKWA","","G-KHEDK","","","","","","","","","","","(R-5A0F4 OR R-76I67) AND R-FV47T AND R-O5YF0 AND R-MOJU2","","","","","","","","",""
"8-M1XX5D8YZK","11/06/2024 15:47:02","0-1","11/06/2024 15:47:02","0-1","0","0","19/06/2024 16:07:15","","","","Optional Default","Parent","dataimp","","","S115NHN6","","","1-1FWG79","","","","","","","","","","","","PJDZN","","G-5DWHR","","","","","","","","","","","R-MGHM8","","","","","","","","",""
"8-WIHC462MAX","11/06/2024 15:47:02","0-1","11/06/2024 15:47:02","0-1","0","0","19/06/2024 16:07:15","","","","Optional Default","Parent","dataimp","","","MZOYZ","","","1-34ZRF1","","","","","","","","","","","","KLMNU","","G-NFIGA","","","","","","","","","","","R-4VZON","","","","","","","","",""
"8-75HGW9JZ31","11/06/2024 15:47:02","0-1","11/06/2024 15:47:02","0-1","0","0","19/06/2024 16:07:15","","","","Optional Default","Parent","dataimp","","","PTYOM","","","1-34ZRG5","","","","","","","","","","","","KLMNU","","G-J4X5P","","","","","","","","","","","R-0A6JS","","","","","","","","",""
"8-XARREKP2FE","11/06/2024 15:47:02","0-1","11/06/2024 15:47:02","0-1","0","0","19/06/2024 16:07:15","","","","Optional Default","Parent","dataimp","","","DKCQT","","","1-YVMHU","","","","","","","","","","","","KZKDF","","G-5F4MS","","","","","","","","","","","R-5V4BM","","","","","","","","",""
